weight_decay,dropout,train_f1,val_f1,gap,time_s
1e-05,0.0,0.938999938999939,0.8966655185057611,0.042334420494177905,99.62437081336975
1e-05,0.1,0.9049405878674172,0.8966563322998966,0.008284255567520549,103.0211091041565
1e-05,0.3,0.5582217261904762,0.4724573671942093,0.08576435899626689,103.17523455619812
0.0001,0.0,0.931993199319932,0.9066625183341481,0.025330680985783838,98.95036292076111
0.0001,0.1,0.9049405878674172,0.8966563322998966,0.008284255567520549,103.12305736541748
0.0001,0.3,0.5582217261904762,0.4724573671942093,0.08576435899626689,102.86458468437195
0.001,0.0,0.931993199319932,0.9066625183341481,0.025330680985783838,98.99722719192505
0.001,0.1,0.9049405878674172,0.8966563322998966,0.008284255567520549,102.70355987548828
0.001,0.3,0.5582217261904762,0.4724573671942093,0.08576435899626689,103.17080235481262
0.01,0.0,0.933990494631227,0.9033236656999033,0.030666828931323664,99.18826675415039
0.01,0.1,0.903935060100628,0.8966563322998966,0.007278727800731355,102.68910336494446
0.01,0.3,0.5418038183015141,0.48773109243697477,0.05407272586453937,103.11069583892822
